,NightClubId,lat,lon
0,0,40.731776700000005,-73.9891566
1,1,40.72901779999999,-73.9917494
2,2,40.7272403,-73.99235159999998
3,3,40.72601699999999,-73.991629
4,4,40.7316651,-73.98987629999998
5,5,40.72903429999999,-73.9918323
6,6,40.7271171,-73.98817939999998
7,7,40.729476,-73.989414
8,8,40.728089600000004,-73.9861248
9,9,40.7340718,-73.99155970000001
10,10,40.7294642,-73.98908980000002
11,11,40.731756,-73.989143
12,12,40.7323889,-73.9875483
13,13,40.73039099999999,-73.9955968
14,14,40.734514000000004,-73.99195999999998
15,15,40.72605540000001,-73.98993730000001
16,16,40.727736900000004,-73.99361390000001
17,17,40.73251099999999,-73.9881657
18,18,40.733442600000004,-73.99126079999998
19,19,40.728198600000006,-73.9874985
20,20,40.729904600000005,-73.98187810000002
21,21,40.72943,-73.98365
22,22,40.7271152,-73.98017929999999
23,23,40.73014149999999,-73.9807172
24,24,40.732080100000005,-73.98373699999998
25,25,40.727923499999996,-73.97934120000001
26,26,40.7259603,-73.9837731
27,27,40.7289216,-73.97827109999999
29,29,40.727809,-73.98483420000001
30,30,40.725912,-73.98394420000001
31,31,40.72852049999999,-73.983359
32,32,40.72795499999999,-73.985732
33,33,40.725640500000004,-73.9779976
34,34,40.73975220000001,-74.00707790000001
35,35,40.743120000000005,-74.00581020000001
36,36,40.739767,-74.00726540000001
37,37,40.74409300000001,-74.0064306
38,38,40.7408249,-74.0079698
39,39,40.743922399999995,-74.0062324
40,40,40.7399286,-74.00580219999998
41,41,40.742290999999994,-74.00345539999998
42,42,40.73964280000001,-74.0058707
43,43,40.7418408,-74.00672589999998
44,44,40.743371200000006,-74.00812189999998
45,45,40.741787,-74.00580699999998
46,46,40.740854,-74.0079523
47,47,40.7409881,-74.0062162
48,48,40.7423985,-74.00410629999999
49,49,40.7422842,-74.00410769999998
50,50,40.742187200000004,-74.00382139999998
51,51,40.7421909,-74.00355789999998
52,52,40.7418533,-74.00573890000001
53,53,40.740024,-74.00931740000001
54,54,40.71435,-74.0098
55,55,40.71576030000001,-74.00868340000001
56,56,40.71327,-74.008043
57,57,40.71373049999999,-74.00738129999998
58,58,40.71178099999999,-74.008786
59,59,40.7113931,-74.0068569
60,60,40.715146600000004,-74.0075402
61,61,40.71559630000001,-74.00761330000002
62,62,40.7103995,-74.0066483
63,63,40.76295569999999,-73.98409529999998
64,64,40.7601749,-73.98723729999998
65,65,40.76344479999999,-73.98469990000002
66,66,40.76099489999999,-73.98548149999999
67,67,40.76440770000001,-73.9856685
68,68,40.759445,-73.98947299999998
69,69,40.763645600000004,-73.99233559999998
70,70,40.760697799999996,-73.98965609999998
71,71,40.7652817,-73.9878658
72,72,40.76315659999999,-73.9847247
73,73,40.760059399999996,-73.9871717
74,74,40.759710999999996,-73.986307
75,75,40.760166,-73.987259
76,76,40.7641392,-73.98432209999999
77,77,40.763501100000006,-73.9888752
78,78,40.762826000000004,-73.989807
79,79,40.76323299999999,-73.99333899999998
80,80,40.76011889999999,-73.9872281
82,82,40.76275029999999,-73.98757119999998
83,83,40.722288899999995,-73.957836
84,84,40.720011,-73.955547
85,85,40.7210295,-73.95658829999998
86,86,40.71943110000001,-73.95622759999998
87,87,40.719829,-73.962661
88,88,40.717984,-73.955877
89,89,40.72209540000001,-73.9590589
90,90,40.718326,-73.955223
91,91,40.71656,-73.95654300000001
92,92,40.71521729999999,-73.9590807
93,93,40.71598720000001,-73.96273120000001
94,94,40.714368,-73.99821700000001
95,95,40.78360499999999,-73.947349
96,96,40.78354029999999,-73.95090030000001
97,97,40.7864669,-73.95293850000002
98,98,40.7876191,-73.9443172
99,99,40.7714959,-73.98266729999999
100,100,40.7715807,-73.9811807
101,101,40.7760977,-73.9793291
102,102,40.718558,-73.989333
103,103,40.7217244,-73.99321239999998
104,104,40.7184,-73.98897149999998
105,105,40.721025,-73.98769200000001
106,106,40.721883,-73.99221
107,107,40.72037479999999,-73.99711769999998
108,108,40.720421,-73.98844600000002
109,109,40.7200046,-73.987841
110,110,40.720688900000006,-73.98870520000001
