,TrainStationId,lat,lon
0,0,40.7115742,-74.0114485
1,1,40.805233799999996,-73.93885240000002
2,2,40.750568,-73.99351899999999
3,3,40.7485781,-73.98866640000001
4,4,40.7330459,-74.00705219999998
8,8,40.74290380000001,-73.9928041
10,10,40.73747540000001,-73.9970975
13,13,40.73423149999999,-73.998802
22,22,40.74152550000001,-73.9570671
23,23,40.684901,-73.97767999999998
34,34,40.75272619999999,-73.97722940000001
35,35,40.7527413,-73.97719980000001
36,36,40.7527343,-73.9772562
37,37,40.752748,-73.9772605
42,42,40.6784885,-73.94879519999998
123,123,40.7425197,-73.94647979999998
