,HospitalId,lat,lon
0,0,40.72932060000001,-73.99302159999998
1,1,40.72877950000001,-73.9946946
2,2,40.733551399999996,-73.9928157
3,3,40.72725129999999,-73.98773670000001
4,4,40.7327809,-73.986599
5,5,40.7330663,-73.98192590000002
6,6,40.7330741,-73.9820388
7,7,40.728684,-73.98080139999998
8,8,40.73132500000001,-73.98329809999998
9,9,40.7331083,-73.9821204
10,10,40.732895299999996,-73.9833282
11,11,40.7411653,-74.0033708
12,12,40.7423311,-74.00347909999998
13,13,40.744873999999996,-74.00390999999998
15,15,40.711749600000005,-74.00866669999998
16,16,40.7110935,-74.00862939999998
17,17,40.714579,-74.00645290000001
18,18,40.7119213,-74.0084455
19,19,40.7124491,-74.00829240000002
20,20,40.712743100000004,-74.01337939999998
21,21,40.708882,-74.011433
22,22,40.708698999999996,-74.01166599999998
23,23,40.714288,-74.0110969
24,24,40.71431889999999,-74.0092932
25,25,40.711922799999996,-74.00851829999998
26,26,40.71533699999999,-74.00833100000001
27,27,40.7110885,-74.00563679999998
28,28,40.7099667,-74.0058521
29,29,40.710464200000004,-74.005303
30,30,40.7647183,-73.9893388
31,31,40.715044799999994,-73.95824309999998
32,32,40.7114841,-74.00211390000003
33,33,40.713307799999995,-73.9966286
34,34,40.7848713,-73.9443943
35,35,40.7882342,-73.95311109999999
36,36,40.78688799999999,-73.94758569999998
37,37,40.78540999999999,-73.945836
38,38,40.7854095,-73.9458363
39,39,40.785224799999995,-73.944981
40,40,40.7839782,-73.9526248
41,41,40.787229100000005,-73.95350150000002
42,42,40.783991,-73.95385999999998
43,43,40.78543,-73.94629180000003
44,44,40.7852776,-73.9456579
45,45,40.7876524,-73.95101190000001
46,46,40.7888495,-73.95199339999998
47,47,40.78897489999999,-73.95190099999998
49,49,40.78212389999999,-73.95080879999998
50,50,40.78839970000001,-73.9530616
51,51,40.776406099999996,-73.9891099
52,52,40.775406700000005,-73.984318
53,53,40.773206099999996,-73.98438399999998
54,54,40.77688130000001,-73.9809981
55,55,40.77576899999999,-73.98251490000001
56,56,40.77868180000001,-73.9823832
57,57,40.7186719,-73.99605190000001
58,58,40.72151599999999,-73.99587679999998
59,59,40.7189424,-73.9948955
60,60,40.7186886,-73.99392689999998
61,61,40.721703000000005,-73.99218929999998
62,62,40.7186173,-73.99381439999998
63,63,40.7168762,-73.99273409999998
64,64,40.7191929,-73.99537609999999
65,65,40.7187111,-73.99607089999998
66,66,40.7170283,-73.99696519999998
67,67,40.80594929999999,-73.94069069999998
68,68,40.805205,-73.9386147
69,69,40.8031623,-73.940793
70,70,40.8051974,-73.93861190000001
71,71,40.8052711,-73.9380257
72,72,40.8038315,-73.93384379999998
73,73,40.7997092,-73.9661163
74,74,40.803117799999995,-73.96831340000001
76,76,40.7472877,-73.9921873
77,77,40.7497152,-73.9869259
78,78,40.7529101,-73.9909345
79,79,40.752829799999994,-73.9923503
80,80,40.75174699999999,-73.99188520000001
81,81,40.749262200000004,-73.9858729
82,82,40.7465209,-73.9930345
83,83,40.751379799999995,-73.9908427
84,84,40.751555700000004,-73.99130099999998
85,85,40.7489097,-73.990162
86,86,40.7483388,-73.9929983
87,87,40.7530168,-73.9909125
89,89,40.7485626,-73.9857455
90,90,40.707572,-74.00242779999998
91,91,40.71033430000001,-74.00507999999998
94,94,40.70776,-74.00739300000001
95,95,40.7069215,-74.00752179999998
96,96,40.70712279999999,-74.00777140000001
97,97,40.70779510000001,-74.00747309999998
98,98,40.7080704,-74.0074723
99,99,40.7102911,-74.0049623
102,102,40.7076346,-74.01077480000001
103,103,40.70981079999999,-74.00536819999998
104,104,40.7098135,-74.00536129999998
105,105,40.709814,-74.005361
107,107,40.7102144,-74.0047903
108,108,40.710359200000006,-74.00510299999998
110,110,40.777867,-73.979295
116,116,40.7764357,-73.97714069999998
117,117,40.71205560000001,-73.9443172
118,118,40.711890999999994,-73.94256899999999
119,119,40.763666799999996,-73.97099449999999
120,120,40.764237,-73.97135879999998
121,121,40.763671200000005,-73.97028259999998
122,122,40.764036,-73.96802
123,123,40.762894700000004,-73.97316870000002
124,124,40.76761219999999,-73.96671009999999
125,125,40.76235649999999,-73.96936109999999
126,126,40.76204570000001,-73.97098179999998
127,127,40.76371499999999,-73.970996
131,131,40.7631511,-73.9688177
132,132,40.7700251,-73.9685808
133,133,40.765417600000006,-73.98049379999998
134,134,40.766376799999996,-73.9814829
135,135,40.7667294,-73.9814878
136,136,40.76308299999999,-73.98141919999998
137,137,40.763034999999995,-73.981083
140,140,40.763365,-73.980772
141,141,40.76290119999999,-73.9807333
142,142,40.7673383,-73.98370419999998
143,143,40.766785600000006,-73.9813879
144,144,40.762400899999996,-73.9798325
145,145,40.728570399999995,-74.0099062
146,146,40.7314321,-74.00910549999998
147,147,40.72582200000001,-74.004834
149,149,40.75088299999999,-73.996844
158,158,40.7983396,-73.93253779999998
159,159,40.800233,-73.93283629999998
160,160,40.798103999999995,-73.939566
161,161,40.798449,-73.9403449
165,165,40.708526500000005,-74.01487359999999
166,166,40.715816100000005,-74.01538339999998
168,168,40.71666159999999,-73.9433069
171,171,40.785269899999996,-73.97004679999998
172,172,40.785556099999994,-73.96949649999998
173,173,40.786162,-73.97064300000001
175,175,40.73330869999999,-74.00219770000001
176,176,40.7321214,-73.99687990000001
177,177,40.730127100000004,-74.0001532
178,178,40.7294708,-74.0001571
180,180,40.6879755,-73.9799051
181,181,40.69244150000001,-73.98705919999998
182,182,40.692403000000006,-73.987096
183,183,40.689107,-73.985034
184,184,40.68966999999999,-73.98645239999998
185,185,40.6917491,-73.98213220000001
186,186,40.7685155,-73.95823879999999
187,187,40.770399,-73.956948
188,188,40.76661970000001,-73.9573094
189,189,40.76649159999999,-73.95724640000002
190,190,40.76571319999999,-73.9582915
191,191,40.7694615,-73.9625302
192,192,40.768064,-73.9635291
193,193,40.7652742,-73.955499
194,194,40.7651034,-73.9625255
195,195,40.764987299999994,-73.95620869999998
196,196,40.7655563,-73.95531830000002
197,197,40.7645971,-73.95687170000001
198,198,40.76553819999999,-73.9551731
199,199,40.7644265,-73.95710190000001
200,200,40.7655176,-73.9549837
201,201,40.765252399999994,-73.9629801
202,202,40.7642645,-73.9572349
203,203,40.77041719999999,-73.963799
204,204,40.7657186,-73.9541658
205,205,40.769851700000004,-73.9601505
206,206,40.7553282,-73.98191070000001
208,208,40.7528042,-73.98483470000001
209,209,40.75617740000001,-73.98185059999999
210,210,40.752416700000005,-73.9828234
211,211,40.7589385,-73.98439599999998
213,213,40.75523619999999,-73.98202289999998
214,214,40.7569614,-73.99052040000001
215,215,40.7550559,-73.98168489999998
224,224,40.7377396,-74.0012047
225,225,40.737620699999994,-74.00064739999998
229,229,40.7455693,-73.9941582
231,231,40.7475915,-73.9980082
234,234,40.7495533,-73.99982940000001
236,236,40.7823424,-73.9549804
237,237,40.781822999999996,-73.95355190000001
238,238,40.7800135,-73.94634350000001
239,239,40.7799255,-73.9529344
241,241,40.779725,-73.9449137
243,243,40.781714,-73.95545
245,245,40.7802689,-73.95336809999998
246,246,40.7801525,-73.9551434
247,247,40.7780396,-73.9535703
249,249,40.739927,-73.9903819
250,250,40.7399443,-73.99105490000001
251,251,40.741464799999996,-73.99096120000002
252,252,40.7416642,-73.9951007
253,253,40.742769,-73.9935929
254,254,40.7435195,-73.99266740000002
255,255,40.7428131,-73.9965996
256,256,40.738929799999994,-73.9951725
259,259,40.745872,-73.98177840000001
260,260,40.7451977,-73.9831407
262,262,40.7440583,-73.98449509999999
263,263,40.748337899999996,-73.9854955
265,265,40.7462739,-73.9865773
266,266,40.7457652,-73.98377559999999
267,267,40.7475695,-73.9817685
268,268,40.7446271,-73.9877156
269,269,40.74840469999999,-73.97986519999998
270,270,40.7507434,-73.98124229999998
271,271,40.7437887,-73.9846167
272,272,40.74488480000001,-73.9804193
273,273,40.7445278,-73.98064959999999
275,275,40.746737599999996,-73.9833593
277,277,40.7468341,-73.98319959999998
279,279,40.737074099999994,-73.9955368
280,280,40.734738799999995,-73.9896218
281,281,40.73595299999999,-73.994175
283,283,40.7403494,-73.9883318
285,285,40.7377414,-73.988783
286,286,40.7376487,-73.98861819999998
287,287,40.7347942,-73.98953209999998
303,303,40.716153399999996,-74.00501070000001
308,308,40.7155897,-74.00115830000001
320,320,40.7777186,-73.9758769
322,322,40.7232208,-73.9854781
332,332,40.765143200000004,-73.9526714
333,333,40.764295000000004,-73.95529599999998
334,334,40.765063299999994,-73.95258489999998
336,336,40.7646404,-73.95402790000001
337,337,40.76408319999999,-73.95602699999998
338,338,40.7642472,-73.95530809999998
339,339,40.76464989999999,-73.9543198
340,340,40.76507549999999,-73.9526814
341,341,40.765694399999994,-73.954109
342,342,40.7618711,-73.9556839
343,343,40.76511,-73.9527243
344,344,40.7651364,-73.95279140000002
346,346,40.765064,-73.953702
348,348,40.76510409999999,-73.9527015
349,349,40.764064000000005,-73.96327590000001
351,351,40.7650903,-73.95375469999998
352,352,40.72540290000001,-73.95138809999999
353,353,40.7234613,-73.9514651
354,354,40.7599623,-73.9711188
355,355,40.760341700000005,-73.97903939999998
356,356,40.7602961,-73.97219009999998
357,357,40.756933399999994,-73.9759551
358,358,40.7597313,-73.9737481
359,359,40.75877020000001,-73.97448969999998
360,360,40.7612744,-73.97268290000001
362,362,40.759509,-73.96941020000001
364,364,40.75915499999999,-73.96955329999999
365,365,40.75889310000001,-73.9696106
366,366,40.7603402,-73.9790395
368,368,40.7604055,-73.9793609
370,370,40.759784999999994,-73.97375100000001
371,371,40.7593941,-73.9697795
372,372,40.759142,-73.96956999999998
373,373,40.758362,-73.96982159999999
374,374,40.7389351,-73.97533670000001
375,375,40.739217,-73.9754976
376,376,40.7393082,-73.9755646
378,378,40.734357900000006,-73.98301059999999
379,379,40.73936259999999,-73.9756402
380,380,40.73319229999999,-73.98208259999998
381,381,40.736872399999996,-73.97727540000001
382,382,40.7390054,-73.980301
383,383,40.7355464,-73.97901279999998
384,384,40.7368571,-73.98105600000001
385,385,40.7391773,-73.9802061
386,386,40.739217,-73.97549769999998
387,387,40.74015809999999,-73.97541070000001
388,388,40.73404499999999,-73.9826908
389,389,40.7391657,-73.9736401
390,390,40.7341691,-73.9826815
391,391,40.73423899999999,-73.983127
392,392,40.736766100000004,-73.97682370000001
393,393,40.7371823,-73.9767127
396,396,40.733426,-74.00954569999998
400,400,40.7604494,-73.95919769999998
401,401,40.763094200000005,-73.9649721
402,402,40.76103880000001,-73.9582077
403,403,40.7604181,-73.95917299999998
404,404,40.7618538,-73.96490390000001
410,410,40.760152700000006,-73.9588646
411,411,40.764140399999995,-73.96211459999998
412,412,40.7641987,-73.9621277
413,413,40.7645221,-73.9610747
414,414,40.764537,-73.96103219999998
415,415,40.75937979999999,-73.9646707
416,416,40.7599374,-73.96512690000002
417,417,40.7589474,-73.9651248
418,418,40.75771700000001,-73.99144729999998
419,419,40.76026189999999,-73.9932872
422,422,40.760293,-73.996348
423,423,40.805347999999995,-73.96250970000001
424,424,40.805392600000005,-73.96250970000001
425,425,40.8051196,-73.96171770000001
427,427,40.80519160000001,-73.9615196
428,428,40.7076223,-73.9647348
429,429,40.7106125,-73.9648358
430,430,40.710474700000006,-73.96705390000001
431,431,40.681773,-74.003766
442,442,40.76110070000001,-73.9680108
467,467,40.6676789,-73.97881269999998
468,468,40.6688784,-73.97951189999998
469,469,40.6698515,-73.9882599
470,470,40.6678814,-73.97904419999998
471,471,40.6683276,-73.9798349
472,472,40.6650742,-73.98530040000001
473,473,40.6650208,-73.98522879999999
475,475,40.6678679,-73.9791231
476,476,40.66781100000001,-73.978888
477,477,40.668034999999996,-73.979933
479,479,40.6688159,-73.9795231
481,481,40.66821299999999,-73.978533
482,482,40.666289299999995,-73.97909870000001
498,498,40.69275559999999,-73.99131299999998
499,499,40.692420399999996,-73.9913282
500,500,40.6926951,-73.9935844
501,501,40.69131840000001,-73.99363659999999
503,503,40.6937471,-73.99122120000001
505,505,40.69511740000001,-73.991129
507,507,40.693154,-73.9867678
508,508,40.692755600000005,-73.99131290000001
509,509,40.6923701,-73.99186399999998
510,510,40.693728799999995,-73.9912446
511,511,40.694274,-73.9864923
512,512,40.69523420000001,-73.9910642
514,514,40.6939206,-73.9846819
520,520,40.71709999999999,-74.007015
534,534,40.77364569999999,-73.96091120000001
535,535,40.775957,-73.9597213
536,536,40.7738805,-73.9607736
537,537,40.77593600000001,-73.95969199999998
538,538,40.778166,-73.95796800000001
539,539,40.77961699999999,-73.95631999999998
540,540,40.778181,-73.958012
541,541,40.778195700000005,-73.9579858
542,542,40.77398300000001,-73.9608581
543,543,40.77369300000001,-73.96034999999998
546,546,40.7737077,-73.96080309999998
547,547,40.77395540000001,-73.96250789999998
548,548,40.773687100000004,-73.9603357
549,549,40.7736768,-73.9602859
550,550,40.77818070000001,-73.9580122
554,554,40.718678600000004,-74.0013705
555,555,40.71864310000001,-74.00235359999998
556,556,40.7175895,-73.9998181
557,557,40.7174831,-74.0006959
558,558,40.7222885,-74.00165249999998
559,559,40.720583399999995,-74.00147240000001
560,560,40.7209197,-74.0046772
561,561,40.7182131,-74.00097209999998
562,562,40.7204032,-74.007764
563,563,40.72981779999999,-73.9553153
564,564,40.7303465,-73.95387790000001
565,565,40.72961,-73.95439689999998
569,569,40.769566999999995,-73.98604519999998
570,570,40.76969129999999,-73.98685959999999
571,571,40.7704347,-73.99048409999999
572,572,40.770134999999996,-73.98585159999999
573,573,40.7696256,-73.9858503
574,574,40.770108,-73.98600239999998
576,576,40.770135100000005,-73.9858515
577,577,40.76948400000001,-73.98483329999998
578,578,40.7693375,-73.98410279999999
579,579,40.77042720000001,-73.99056639999998
580,580,40.7697168,-73.9868805
582,582,40.7696592,-73.98679449999999
583,583,40.76948170000001,-73.98633240000001
584,584,40.7699402,-73.98648259999999
585,585,40.7700909,-73.9859886
589,589,40.725465500000006,-73.99364
597,597,40.7445201,-73.98931019999998
607,607,40.7430276,-73.98481590000002
610,610,40.74504230000001,-73.98397309999999
618,618,40.7263344,-73.99639520000001
619,619,40.72599169999999,-73.9957071
623,623,40.741930200000006,-73.98543130000002
624,624,40.742290999999994,-73.98441690000001
626,626,40.74568999999999,-73.978786
628,628,40.7412333,-73.9824061
631,631,40.74468269999999,-73.9800115
633,633,40.741921000000005,-73.98612299999998
636,636,40.74570800000001,-73.97883999999998
637,637,40.745718100000005,-73.9788277
645,645,40.710090799999996,-73.96331219999998
646,646,40.708039299999996,-73.9606556
664,664,40.7173202,-73.99994459999998
669,669,40.7167357,-73.9982757
677,677,40.67438900000001,-73.96854499999998
678,678,40.773822700000004,-73.94895269999998
679,679,40.77392549999999,-73.949007
680,680,40.776061799999994,-73.94438620000001
683,683,40.7799134,-73.98742709999998
694,694,40.77357689999999,-73.9590807
695,695,40.777251,-73.952978
701,701,40.77296309999999,-73.95976040000001
702,702,40.7736341,-73.96085490000002
703,703,40.7761409,-73.95926650000001
715,715,40.742436,-73.9737746
717,717,40.7437493,-73.9723967
718,718,40.741724700000006,-73.9749822
719,719,40.7414726,-73.97453329999998
721,721,40.7436541,-73.97253020000001
722,722,40.742075299999996,-73.9745434
723,723,40.7416214,-73.97474369999998
724,724,40.74162099999999,-73.974743
729,729,40.74206969999999,-73.9743355
730,730,40.7420079,-73.97436660000002
734,734,40.7205898,-73.98691
737,737,40.699453600000005,-73.9421844
738,738,40.697993200000006,-73.94068879999998
739,739,40.697821600000005,-73.94106479999998
740,740,40.6938093,-73.9350352
741,741,40.69379639999999,-73.93502289999998
742,742,40.6955795,-73.9327595
743,743,40.76048400000001,-73.99893409999999
756,756,40.7071307,-74.0077735
761,761,40.70384790000001,-74.0074478
766,766,40.755059700000004,-73.97184709999998
773,773,40.75836049999999,-73.9681815
775,775,40.75757679999999,-73.970062
780,780,40.75962750000001,-73.968622
781,781,40.756440999999995,-73.977654
796,796,40.71810600000001,-73.9858821
797,797,40.686089,-73.994739
798,798,40.6839989,-73.9953726
799,799,40.8001292,-73.94552790000002
810,810,40.73462500000001,-73.9855245
812,812,40.73434659999999,-73.98298
814,814,40.7346511,-73.983559
816,816,40.73658429999999,-73.98215350000001
817,817,40.790380299999995,-73.9390877
818,818,40.79324560000001,-73.93937710000002
819,819,40.79120729999999,-73.94380109999999
836,836,40.734872700000004,-73.98966089999998
845,845,40.7034598,-74.0088973
864,864,40.7413995,-73.9744151
865,865,40.7414255,-73.97440259999998
866,866,40.74142550000001,-73.9744025
870,870,40.68112429999999,-73.98078620000001
871,871,40.67910599999999,-73.9827677
872,872,40.679578,-73.9839262
876,876,40.69852900000001,-73.95672320000001
877,877,40.690253399999996,-73.9597732
890,890,40.718590999999996,-74.00930600000001
896,896,40.7063394,-74.0134099
913,913,40.8096656,-73.94905779999998
914,914,40.81129529999999,-73.9498194
915,915,40.81152120000001,-73.9497027
916,916,40.8091228,-73.9472377
917,917,40.81114869999999,-73.953932
918,918,40.8120969,-73.9501484
920,920,40.8144753,-73.95541639999998
924,924,40.79252169999999,-73.97200010000002
925,925,40.7893854,-73.97039749999998
927,927,40.78916299999999,-73.97453
957,957,40.6753722,-73.9590985
958,958,40.675710200000005,-73.95834599999998
973,973,40.79358240000001,-73.9675886
974,974,40.7935825,-73.9675886
1004,1004,40.7704887,-73.94273559999998
1006,1006,40.7692323,-73.95019029999999
1012,1012,40.76580450000001,-73.91362579999998
1013,1013,40.68304620000001,-74.0029965
