,SubwayStationId,lat,lon
0,0,40.7300944,-73.9908406
1,1,40.7306065,-73.99244159999998
2,2,40.73314440000001,-73.986761
3,3,40.73143200000001,-73.98216690000001
4,4,40.712645200000004,-74.00989799999998
5,5,40.7132422,-74.0092559
6,6,40.71430480000001,-74.00844120000001
7,7,40.71100560000001,-74.010763
8,8,40.7114378,-74.012365
9,9,40.7106484,-74.00929559999999
10,10,40.71341619999999,-74.00695759999998
11,11,40.7155134,-74.00922270000001
12,12,40.709373,-74.0083258
13,13,40.7093392,-74.0083241
14,14,40.70956459999999,-74.00638359999999
15,15,40.71282180000001,-74.0042836
16,16,40.7620363,-73.98632909999998
17,17,40.7614242,-73.98400600000001
18,18,40.7177036,-73.95752990000001
19,19,40.7858701,-73.95093469999998
20,20,40.7835401,-73.9476413
21,21,40.790230799999996,-73.9477564
22,22,40.7736972,-73.98222879999999
23,23,40.718200200000005,-73.99357359999998
24,24,40.720166799999994,-73.99353470000001
25,25,40.71854949999999,-73.98820979999998
26,26,40.718613,-73.988113
27,27,40.67732739999999,-73.97255909999998
28,28,40.6752403,-73.97104159999998
29,29,40.6808734,-73.9751446
30,30,40.8043863,-73.9374292
31,31,40.7992691,-73.9684843
32,32,40.8041784,-73.96672579999998
34,34,40.75032230000001,-73.9908707
35,35,40.748897899999996,-73.98878859999998
36,36,40.752287,-73.993391
37,37,40.7470686,-73.99350919999998
41,41,40.706404600000006,-74.00952190000001
44,44,40.77873030000001,-73.98190770000001
45,45,40.71423739999999,-73.94931179999998
46,46,40.76486759999999,-73.97242309999999
47,47,40.7648364,-73.96658190000001
50,50,40.7629749,-73.9819021
51,51,40.7598372,-73.98418249999999
52,52,40.765564000000005,-73.9803309
53,53,40.72860239999999,-74.00531679999999
59,59,40.7078954,-74.01363649999998
60,60,40.7076979,-74.0131224
61,61,40.714526299999996,-73.94438180000002
63,63,40.71190939999999,-73.9404555
64,64,40.781968,-73.97200839999998
65,65,40.7852685,-73.9695849
66,66,40.7311701,-74.00135870000001
67,67,40.73109880000001,-74.0012157
69,69,40.733578400000006,-74.00287279999998
70,70,40.6898084,-73.98115589999998
71,71,40.6887905,-73.9851051
72,72,40.690534899999996,-73.9850204
73,73,40.6882963,-73.98052059999999
74,74,40.69225429999999,-73.9862942
75,75,40.69225069999999,-73.9872792
