,SubwayStationId,lat,lon
749,749,40.66087879999999,-73.9621109
763,763,40.701348200000005,-73.98660009999998
764,764,40.6993673,-73.99126559999998
765,765,40.6974878,-73.99314090000001
767,767,40.756691700000005,-73.92064090000001
785,785,40.679826500000004,-73.94112940000001
851,851,40.7549713,-74.0010084
857,857,40.66541369999999,-73.99292590000002
868,868,40.7055695,-73.95008359999999
937,937,40.804436100000004,-73.9553671
940,940,40.80087269999999,-73.9583948
1244,1244,40.75634009999999,-73.9133609
1381,1381,40.654506500000004,-74.0042335
1396,1396,40.6632908,-73.951044
1436,1436,40.7446224,-73.94863620000001
1473,1473,40.7591362,-73.9533215
1485,1485,40.7424176,-73.9481564
1561,1561,40.6604292,-73.9797224
1572,1572,40.6446283,-74.0145512
