,lat,lng
0,40.7280822,-73.99160859999999
1,40.7294081,-73.9904866
2,40.7318259,-73.9905606
3,40.7288738,-73.9946334
4,40.72976999999999,-73.99271
5,40.7330117,-73.98967069999999
6,40.7305451,-73.9930577
7,40.7328918,-73.9919805
8,40.727553,-73.987661
9,40.7266236,-73.989775
10,40.7280553,-73.9896602
11,40.7308267,-73.9867893
12,40.7295142,-73.99232310000001
13,40.728214,-73.9900473
14,40.7294595,-73.9921459
15,40.73244769999999,-73.99177209999999
16,40.7332437,-73.9908974
17,40.7281248,-73.98975899999999
18,40.728132,-73.989995
19,40.7265175,-73.9926194
20,40.7293824,-73.982502
21,40.73254130000001,-73.9828422
22,40.7324847,-73.9827222
23,40.7304728,-73.9811205
24,40.7312884,-73.9832952
25,40.7276229,-73.98472009999999
26,40.7299276,-73.9843928
27,40.72772569999999,-73.9783818
28,40.7326759,-73.9825764
29,40.7293004,-73.9822065
30,40.72778729999999,-73.9784711
31,40.7271393,-73.9845095
32,40.7326748,-73.9843188
33,40.72787889999999,-73.98178759999999
34,40.7291059,-73.97788349999999
35,40.72988530000001,-73.98434619999999
36,40.7284515,-73.9789855
37,40.7290467,-73.9824979
38,40.73052550000001,-73.98235609999999
39,40.7290608,-73.98327789999999
40,40.74336780000001,-74.00254749999999
41,40.7431223,-74.0025077
42,40.74553299999999,-74.010053
43,40.743248,-74.00269500000002
44,40.7425709,-74.0023709
45,40.7432238,-74.0024232
46,40.7398359,-74.00433
47,40.74191889999999,-74.0030163
48,40.7433679,-74.0025474
49,40.74343510000001,-74.0026396
50,40.74324789999999,-74.0025567
51,40.7466382,-74.0052231
52,40.7407704,-74.00322659999999
53,40.73885329999999,-74.00718739999999
54,40.74336780000001,-74.00254749999999
55,40.74279180000001,-74.0032475
56,40.7451148,-74.00437099999999
57,40.74654830000001,-74.00861019999999
58,40.7407848,-74.00414479999999
59,40.7430191,-74.0031578
60,40.7092906,-74.0123296
61,40.711993,-74.008674
62,40.71441679999999,-74.0072617
63,40.71582999999999,-74.00802399999999
64,40.71328510000001,-74.0083872
65,40.7160283,-74.01160469999999
66,40.7162752,-74.008033
67,40.7159706,-74.007606
68,40.7110565,-74.0053612
69,40.71636489999999,-74.0123498
70,40.71339529999999,-74.00554559999999
71,40.71600919999999,-74.0100576
72,40.7151804,-74.01099169999999
73,40.71328510000001,-74.0083872
74,40.71589600000001,-74.008122
75,40.709755,-74.007267
76,40.7172594,-74.0087628
77,40.7104898,-74.0078174
78,40.7149162,-74.00607289999999
79,40.7096139,-74.0109533
80,40.765536,-73.993163
81,40.7655356,-73.9931625
82,40.76559289999999,-73.99298519999999
83,40.7653291,-73.9930871
84,40.7639856,-73.9903637
85,40.76399929999999,-73.9908346
86,40.7652446,-73.99273749999999
87,40.76417669999999,-73.9833744
88,40.76424519999999,-73.983522
89,40.7657883,-73.98953019999999
90,40.7655356,-73.9931625
91,40.764258,-73.98331
92,40.7599628,-73.99111719999999
93,40.76282700000001,-73.987646
94,40.7679759,-73.9881796
95,40.7639937,-73.9904866
96,40.7660538,-73.98592959999999
97,40.7640485,-73.9859469
98,40.76787600000001,-73.9887912
99,40.76554489999999,-73.99029689999999
100,40.7154923,-73.9550398
101,40.7180348,-73.96373559999999
102,40.7162857,-73.95838979999999
103,40.7187046,-73.9611783
104,40.7152099,-73.95699139999999
105,40.715305,-73.9569941
106,40.7183199,-73.9618911
107,40.7163855,-73.9575194
108,40.719413,-73.962235
109,40.720196,-73.9628084
110,40.7153919,-73.9572197
111,40.722931,-73.9557181
112,40.7196459,-73.96103219999999
113,40.7204707,-73.9572777
114,40.7167314,-73.9594412
115,40.7166302,-73.95835749999999
116,40.7162277,-73.958514
117,40.71527419999999,-73.95705699999999
118,40.71948400000001,-73.963635
119,40.7154923,-73.9550398
120,40.7115102,-73.99668489999999
121,40.7125892,-73.9975292
122,40.71480469999999,-73.9991228
123,40.7105245,-73.9967905
124,40.712858,-73.9953247
125,40.71442560000001,-73.9955252
126,40.7129403,-73.9991762
127,40.71403600000001,-73.996101
128,40.71207580000001,-73.9942104
129,40.71301680000001,-73.99200809999999
130,40.71164379999999,-73.9960898
131,40.71292529999999,-73.99787959999999
132,40.7148116,-73.999117
133,40.7123446,-73.9989409
134,40.71237139999999,-73.9989401
135,40.71471690000001,-73.9958123
136,40.7112756,-74.0012679
137,40.7136156,-73.99752649999999
138,40.7137433,-74.0004481
139,40.7144262,-73.9955257
140,40.785624,-73.95410679999999
141,40.785555,-73.9537339
142,40.7869878,-73.9505855
143,40.7832825,-73.9459371
144,40.7886837,-73.9447655
145,40.7838943,-73.9451009
146,40.7850142,-73.9500312
147,40.7856733,-73.9495341
148,40.7854482,-73.9529396
149,40.7886803,-73.9448037
150,40.78417960000001,-73.95239939999999
151,40.7850045,-73.95001789999999
152,40.7828262,-73.95068410000002
153,40.7841068,-73.9493801
154,40.7847595,-73.9513912
155,40.7819412,-73.94908790000001
156,40.7880607,-73.9508974
157,40.7870067,-73.9504477
158,40.78544899999999,-73.9485269
159,40.7848339,-73.9527547
160,40.77375869999999,-73.98282859999999
161,40.7747793,-73.98472000000001
162,40.7751238,-73.9829707
163,40.7747793,-73.98472000000001
164,40.7780531,-73.9853639
165,40.7724947,-73.9892631
166,40.7747793,-73.98472000000001
167,40.77233349999999,-73.9876606
168,40.7718072,-73.9874016
169,40.7757359,-73.984006
170,40.77419599999999,-73.979433
171,40.7748991,-73.9856157
172,40.7747793,-73.98472000000001
173,40.77776610000001,-73.9847365
174,40.772534,-73.98038199999999
175,40.7779517,-73.98470259999999
176,40.7739911,-73.97916920000002
177,40.7748991,-73.9856157
178,40.7748991,-73.9856156
179,40.7752064,-73.9831573
180,40.7161208,-73.99405279999999
181,40.717321,-73.989323
182,40.7172851,-73.9895806
183,40.72219839999999,-73.9907155
184,40.71567710000001,-73.99335359999999
185,40.7169645,-73.9895323
186,40.7221767,-73.9906357
187,40.7173162,-73.989318
188,40.722178,-73.9906407
189,40.717321,-73.989323
190,40.716187,-73.99337899999999
191,40.7173162,-73.989318
192,40.7184424,-73.9941006
193,40.71651,-73.9936997
194,40.7199055,-73.99188819999999
195,40.7221562,-73.9923116
196,40.716136,-73.9908411
197,40.7205439,-73.995611
198,40.7165187,-73.993222
199,40.7170744,-73.99064369999999
200,40.6756927,-73.97372829999999
201,40.6765759,-73.9777278
202,40.675962,-73.974712
203,40.6743507,-73.9757939
204,40.6799844,-73.96967889999999
205,40.676981,-73.9695619
