,lat,lng
0,40.7115742,-74.0114485
1,40.8052338,-73.9388524
2,40.750568,-73.993519
3,40.7485781,-73.9886664
4,40.7330459,-74.00705219999999
5,40.750568,-73.993519
6,40.7115742,-74.0114485
7,40.750568,-73.993519
8,40.74290380000001,-73.9928041
9,40.7485781,-73.9886664
10,40.73747540000001,-73.9970975
11,40.73747540000001,-73.9970975
12,40.7330459,-74.00705219999999
13,40.73423149999999,-73.998802
14,40.7330459,-74.00705219999999
15,40.7485781,-73.9886664
16,40.73423149999999,-73.998802
17,40.7115742,-74.0114485
18,40.73423149999999,-73.998802
19,40.73747540000001,-73.9970975
20,40.73747540000001,-73.9970975
21,40.73423149999999,-73.998802
22,40.74152550000001,-73.9570671
23,40.684901,-73.97767999999999
24,40.7485781,-73.9886664
25,40.73747540000001,-73.9970975
26,40.74290380000001,-73.9928041
27,40.7115742,-74.0114485
28,40.750568,-73.993519
29,40.750568,-73.993519
30,40.74290380000001,-73.9928041
31,40.7485781,-73.9886664
32,40.750568,-73.993519
33,40.684901,-73.97767999999999
34,40.75272619999999,-73.9772294
35,40.7527413,-73.9771998
36,40.7527343,-73.9772562
37,40.752748,-73.9772605
38,40.7330459,-74.00705219999999
39,40.73747540000001,-73.9970975
40,40.73423149999999,-73.998802
41,40.750568,-73.993519
42,40.6784885,-73.94879519999999
43,40.8052338,-73.9388524
44,40.75272619999999,-73.9772294
45,40.7527413,-73.9771998
46,40.7527343,-73.9772562
47,40.752748,-73.9772605
48,40.73423149999999,-73.998802
49,40.73747540000001,-73.9970975
50,40.7115742,-74.0114485
51,40.684901,-73.97767999999999
52,40.7330459,-74.00705219999999
53,40.684901,-73.97767999999999
54,40.7115742,-74.0114485
55,40.74290380000001,-73.9928041
56,40.73423149999999,-73.998802
57,40.75272619999999,-73.9772294
58,40.7527413,-73.9771998
59,40.7527343,-73.9772562
60,40.752748,-73.9772605
61,40.8052338,-73.9388524
62,40.74290380000001,-73.9928041
63,40.73423149999999,-73.998802
64,40.684901,-73.97767999999999
65,40.7330459,-74.00705219999999
66,40.7115742,-74.0114485
67,40.74290380000001,-73.9928041
68,40.684901,-73.97767999999999
69,40.750568,-73.993519
70,40.7485781,-73.9886664
71,40.73747540000001,-73.9970975
72,40.73423149999999,-73.998802
73,40.74152550000001,-73.9570671
74,40.7330459,-74.00705219999999
75,40.7485781,-73.9886664
76,40.74290380000001,-73.9928041
77,40.75272619999999,-73.9772294
78,40.7527343,-73.9772562
79,40.7527413,-73.9771998
80,40.752748,-73.9772605
81,40.684901,-73.97767999999999
82,40.75272619999999,-73.9772294
83,40.7527343,-73.9772562
84,40.7527413,-73.9771998
85,40.752748,-73.9772605
86,40.75272619999999,-73.9772294
87,40.7527343,-73.9772562
88,40.7527413,-73.9771998
89,40.752748,-73.9772605
90,40.750568,-73.993519
91,40.7485781,-73.9886664
92,40.75272619999999,-73.9772294
93,40.7527413,-73.9771998
94,40.7527343,-73.9772562
95,40.752748,-73.9772605
96,40.75272619999999,-73.9772294
97,40.7527343,-73.9772562
98,40.7527413,-73.9771998
99,40.752748,-73.9772605
100,40.8052338,-73.9388524
101,40.74290380000001,-73.9928041
102,40.750568,-73.993519
103,40.7485781,-73.9886664
104,40.684901,-73.97767999999999
105,40.6784885,-73.94879519999999
106,40.75272619999999,-73.9772294
107,40.7527343,-73.9772562
108,40.7527413,-73.9771998
109,40.752748,-73.9772605
110,40.7115742,-74.0114485
111,40.73423149999999,-73.998802
112,40.73747540000001,-73.9970975
113,40.6784885,-73.94879519999999
114,40.8052338,-73.9388524
115,40.684901,-73.97767999999999
116,40.7115742,-74.0114485
117,40.73423149999999,-73.998802
118,40.684901,-73.97767999999999
119,40.74152550000001,-73.9570671
120,40.8052338,-73.9388524
121,40.74152550000001,-73.9570671
122,40.7485781,-73.9886664
123,40.7425197,-73.94647979999999
124,40.74152550000001,-73.9570671
125,40.7425197,-73.94647979999999
126,40.74152550000001,-73.9570671
127,40.8052338,-73.9388524
128,40.7425197,-73.94647979999999
129,40.73747540000001,-73.9970975
130,40.73423149999999,-73.998802
