,lat,lng
0,40.72935390000001,-73.9898467
1,40.7279371,-73.9907849
2,40.7271802,-73.99216229999999
3,40.72601699999999,-73.991629
4,40.7333524,-73.9902571
5,40.72872569999999,-73.98830339999999
6,40.7290155,-73.9871139
7,40.7278469,-73.9926737
8,40.732015,-73.9868175
9,40.727404,-73.98735099999999
10,40.73247319999999,-73.9950116
11,40.7313824,-73.99180869999999
12,40.73250410000001,-73.9890404
13,40.732897,-73.987867
14,40.72864320000001,-73.99207799999999
15,40.7300681,-73.9935436
16,40.7327914,-73.9925702
17,40.7331163,-73.9913066
18,40.7284059,-73.9850707
19,40.7279838,-73.98306339999999
20,40.728684,-73.98080139999999
21,40.728684,-73.98080139999999
22,40.7265889,-73.98431769999999
23,40.7268233,-73.9771719
24,40.7279092,-73.9819692
25,40.72643669999999,-73.9764649
26,40.7271404,-73.9798745
27,40.73160480000001,-73.9839052
28,40.729208,-73.984893
29,40.732907,-73.9799726
30,40.73192179999999,-73.98391079999999
31,40.7266747,-73.97724649999999
32,40.72728499999999,-73.985237
33,40.7409232,-74.008111
34,40.7398532,-74.00573349999999
35,40.7459912,-74.0049983
36,40.74029180000001,-74.0034123
37,40.74024709999999,-74.0030962
38,40.7405866,-74.00583189999999
39,40.742447,-74.00390620000002
40,40.7423311,-74.00347909999999
41,40.742029,-74.0085618
42,40.74128899999999,-74.0046969
43,40.74103650000001,-74.0037952
44,40.7440571,-74.00653199999999
45,40.7440571,-74.00653199999999
46,40.7420414,-74.0033414
47,40.7424366,-74.0033098
48,40.7407848,-74.00414479999999
49,40.7417494,-74.0087829
50,40.7421472,-74.00612079999999
51,40.7400201,-74.0031224
52,40.711114,-74.010333
53,40.71519969999999,-74.0091202
54,40.715475,-74.008909
55,40.71584519999999,-74.0074501
56,40.708985,-74.00916289999999
57,40.7098029,-74.01388639999999
58,40.70970579999999,-74.0138809
59,40.71491140000001,-74.01546119999999
60,40.710034,-74.008657
61,40.71088399999999,-74.00838999999999
62,40.712968,-74.0074806
63,40.710968,-74.0084713
64,40.715201,-74.0091396
65,40.710034,-74.008657
66,40.7111334,-74.0067533
67,40.709605,-74.0098272
68,40.70959999999999,-74.00872000000001
69,40.7103777,-74.0066971
70,40.70938999999999,-74.0123
71,40.7093855,-74.01265959999999
72,40.763309,-73.986814
73,40.7645117,-73.992333
74,40.7632795,-73.98566439999999
75,40.761291,-73.991736
76,40.7612054,-73.9865068
77,40.76039600000001,-73.987764
78,40.7603197,-73.9877785
79,40.76136169999999,-73.98558129999999
80,40.76102299999999,-73.985378
81,40.76404410000001,-73.9945299
82,40.7595373,-73.9906663
83,40.762738,-73.983656
84,40.76061099999999,-73.9850757
85,40.764153,-73.994963
86,40.7616773,-73.98803989999999
87,40.7617382,-73.9852527
88,40.75957260000001,-73.9870887
89,40.7612425,-73.985922
90,40.7605661,-73.98632409999999
91,40.76035,-73.989753
92,40.7208944,-73.9554315
93,40.7218887,-73.9580971
94,40.7180718,-73.9548138
95,40.720617,-73.957514
96,40.7183991,-73.963233
97,40.7215045,-73.9587016
98,40.722293,-73.956682
99,40.7149448,-73.9592072
100,40.7181353,-73.9579442
101,40.7179448,-73.9575808
102,40.7208251,-73.9587909
103,40.719988,-73.9608263
104,40.7175834,-73.9607638
105,40.7215045,-73.9587016
106,40.71566079999999,-73.9612226
107,40.71360970000001,-73.9936334
108,40.7134506,-73.9929011
109,40.7122141,-73.992694
110,40.7118777,-73.99867309999999
111,40.7127624,-73.9951682
112,40.71241099999999,-73.9988307
113,40.71403589999999,-73.9938619
114,40.7144001,-73.999026
