,RestaurantId,lat,lon
0,0,40.7270599,-73.98857679999998
1,1,40.728237,-73.99148629999998
2,2,40.729479600000005,-73.9872714
3,3,40.7275934,-73.9937017
4,4,40.730948,-73.990287
5,5,40.7336559,-73.9896778
6,6,40.731068,-73.9884998
7,7,40.72756879999999,-73.98862840000001
8,8,40.726321999999996,-73.992201
9,9,40.729221100000004,-73.98588629999998
10,10,40.73437949999999,-73.99108790000001
11,11,40.7311059,-73.9891176
12,12,40.7290155,-73.98711390000001
13,13,40.72721809999999,-73.9940625
14,14,40.72658699999999,-73.9924731
15,15,40.7270718,-73.9919324
16,16,40.728511,-73.98814
17,17,40.7297511,-73.98908639999998
18,18,40.728715799999996,-73.9882638
19,19,40.729771299999996,-73.98916120000001
20,20,40.730456,-73.982934
21,21,40.729232999999994,-73.98451
22,22,40.72647429999999,-73.9834882
23,23,40.73021200000001,-73.983724
24,24,40.73030670000001,-73.9836168
25,25,40.7270921,-73.9837629
26,26,40.732342200000005,-73.98439509999999
27,27,40.7303588,-73.98382769999998
29,29,40.7303679,-73.9836078
30,30,40.7321384,-73.98387699999998
31,31,40.7273325,-73.9844233
32,32,40.72943,-73.98365
33,33,40.72711549999999,-73.98376280000001
34,34,40.7278374,-73.9855311
35,35,40.730003,-73.983222
36,36,40.7278869,-73.9820301
37,37,40.7284164,-73.9819783
38,38,40.72967709999999,-73.98347389999998
39,39,40.728228,-73.982291
40,40,40.744223,-74.00631390000001
41,41,40.7405243,-74.0080535
42,42,40.74043309999999,-74.0054753
43,43,40.7398399,-74.0071747
44,44,40.7412405,-74.0048833
45,45,40.742293599999996,-74.0061245
46,46,40.743233399999994,-74.00833990000001
47,47,40.74030589999999,-74.0075931
48,48,40.743265,-74.007605
49,49,40.743024,-74.007189
50,50,40.740612799999994,-74.0069163
51,51,40.74409300000001,-74.0064306
52,52,40.7406657,-74.00801329999999
53,53,40.743568700000004,-74.0032397
54,54,40.74648800000001,-74.008461
55,55,40.7440813,-74.00659780000002
56,56,40.739585999999996,-74.006692
57,57,40.7403115,-74.0055189
58,58,40.739649,-74.00689100000001
59,59,40.740866,-74.006951
