,SchoolId,lat,lon
0,0,40.7280822,-73.99160859999998
1,1,40.7294081,-73.9904866
2,2,40.7318259,-73.9905606
3,3,40.728873799999995,-73.9946334
4,4,40.72976999999999,-73.99271
5,5,40.733011700000006,-73.98967069999998
6,6,40.7305451,-73.99305770000001
7,7,40.7328918,-73.99198050000001
8,8,40.727553,-73.987661
9,9,40.7266236,-73.989775
10,10,40.728055299999994,-73.9896602
11,11,40.73082670000001,-73.9867893
12,12,40.729514200000004,-73.99232310000002
13,13,40.728214,-73.9900473
14,14,40.7294595,-73.9921459
15,15,40.73244769999999,-73.99177209999998
16,16,40.7332437,-73.99089740000001
17,17,40.728124799999996,-73.98975899999998
18,18,40.728132,-73.989995
19,19,40.7265175,-73.9926194
20,20,40.7293824,-73.982502
21,21,40.73254130000001,-73.98284220000001
22,22,40.7324847,-73.98272220000001
23,23,40.730472799999994,-73.98112049999999
24,24,40.7312884,-73.9832952
25,25,40.7276229,-73.98472009999998
26,26,40.7299276,-73.9843928
27,27,40.72772569999999,-73.9783818
28,28,40.7326759,-73.98257640000001
29,29,40.72930039999999,-73.98220649999999
30,30,40.72778729999999,-73.9784711
31,31,40.7271393,-73.9845095
32,32,40.7326748,-73.9843188
33,33,40.72787889999999,-73.98178759999998
34,34,40.7291059,-73.97788349999998
35,35,40.72988530000001,-73.98434619999998
36,36,40.7284515,-73.9789855
37,37,40.7290467,-73.9824979
38,38,40.73052550000001,-73.98235609999998
39,39,40.72906079999999,-73.98327789999998
40,40,40.74336780000001,-74.00254749999998
41,41,40.7431223,-74.00250770000001
42,42,40.74553299999999,-74.010053
43,43,40.743248,-74.00269500000002
44,44,40.7425709,-74.0023709
45,45,40.743223799999996,-74.00242320000001
46,46,40.7398359,-74.00433000000001
47,47,40.74191889999999,-74.0030163
48,48,40.7433679,-74.00254740000001
49,49,40.743435100000006,-74.0026396
50,50,40.74324789999999,-74.0025567
51,51,40.74663820000001,-74.0052231
52,52,40.740770399999995,-74.00322659999998
53,53,40.73885329999999,-74.00718739999998
55,55,40.742791800000006,-74.0032475
56,56,40.745114799999996,-74.00437099999998
57,57,40.74654830000001,-74.00861019999998
58,58,40.7407848,-74.00414479999998
